資料日期,記錄類型,資產類別,來源檔案,代碼,名稱,交易別,計價幣別,交易幣別,數量,可用數量,市價_最新淨值,價格日期,均價_平均申購淨值,匯率,成本,市值,損益,報酬率,含息損益,含息報酬率,不含息損益,不含息報酬率,累計配息,備註
2026-09-11,持倉,股票/ETF,Screenshot_20260911_085917.jpg,,元大台灣50反1,現股,,台幣,4746,4746,9.73,,11.11,,,46181.58,-6654,-12.62%,,,,,,"市值為 9.73×4,746 推算；損益與報酬率採畫面顯示"
2026-09-11,持倉,股票/ETF,證券未實現彙總20260911085851.csv,,中信中國50,現股,,台幣,1000,,22.27,,22.95,,22955,22240,-715,-3.11%,,,,,,
2026-09-11,持倉,股票/ETF,證券未實現彙總20260911085851.csv,,中信中國高股息,現股,,台幣,1999,,14.84,,15.91,,31816,29627,-2189,-6.88%,,,,,,
2026-09-11,持倉,股票/ETF,證券未實現彙總20260911085851.csv,,永豐中國科技50大,現股,,台幣,1000,,15.61,,17.43,,17431,15589,-1842,-10.57%,,,,,,
2026-09-11,持倉,股票/ETF,證券未實現彙總20260911085851.csv,,野村全球航運龍頭,現股,,台幣,2000,,21.53,,17.6,,35214,43000,7786,22.11%,,,,,,
2026-09-11,持倉,股票/ETF,證券未實現彙總20260911085851.csv,,統一,現股,,台幣,1691,,75.6,,77.34,,130817,127408,-3409,-2.61%,,,,,,
2026-09-11,彙總,證券彙總,證券未實現彙總20260911085851.csv,,總預估損益,,,台幣,,,,,,,,,,,,,,,,總預估損益=-369
2026-09-11,彙總,證券彙總,證券未實現彙總20260911085851.csv,,總報酬率,,,,,,,,,,,,,,,,,,,總報酬率=-0.15%
2026-09-11,彙總,證券彙總,證券未實現彙總20260911085851.csv,,總預估現值,,,台幣,,,,,,,,,,,,,,,,總預估現值=237864
2026-09-11,彙總,證券彙總,證券未實現彙總20260911085851.csv,,總成本,,,台幣,,,,,,,,,,,,,,,,總成本=238233
2026-09-11,彙總,證券彙總,證券未實現彙總20260911085851.csv,,總融資現金,,,台幣,,,,,,,,,,,,,,,,總融資現金=0
2026-09-11,彙總,證券彙總,證券未實現彙總20260911085851.csv,,總利息,,,台幣,,,,,,,,,,,,,,,,總利息=0
2026-09-11,持倉,基金,帳戶總覽_一般申購 (36).csv,B06188,法巴美元短期債券基金/月配(美元),,美元,台幣,28.763,,103.96,2026/09/09,104.97,31.5375,97605,94303,-3302,,,-2.46%,,-3.38%,899,
2026-09-11,持倉,基金,帳戶總覽_一般申購 (36).csv,B09463,貝萊德世界黃金A10美元總報酬穩定配息,,美元,台幣,107.32,,31.07,2026/09/10,31.97,31.5375,108257,105159,-3098,,,0.28%,,-2.86%,3404,
2026-09-11,持倉,基金,帳戶總覽_一般申購 (36).csv,B20302,安聯AI人工智慧AMf2固定月配美元,,美元,台幣,7.123,,144.02,2026/09/10,158.57,31.5375,35689,32352,-3337,,,-8.87%,,-9.35%,171,
2026-09-11,持倉,基金,帳戶總覽_一般申購 (36).csv,B20306,安聯網路資安趨勢AMf2固定月配美元,,美元,台幣,28.764,,152.16,2026/09/10,156.21,31.5375,144437,138032,-6405,,,-4.27%,,-4.43%,233,
2026-09-11,持倉,基金,Screen_Recording_20260911_085721.mp4,042197,貝萊德環球資產配置基金A10美元(總報酬穩定配息),,美元,台幣,309.04,309.04,11.37,2026/09/10,11.50,31.5375,113505,110816,,,-486,-0.43%,-2689,-2.37%,2203,影片基金庫存詳情；配息方式：月配
2026-09-11,持倉,基金,Screen_Recording_20260911_085721.mp4,069015,PIMCO全球債券基金-M級類別(月收息強化股份),,美元,台幣,347.584,347.584,8.79,2026/09/10,8.98,31.5375,101481,96355,,,-4791,-4.72%,-5126,-5.05%,335,影片基金庫存詳情；配息方式：月配
2026-09-11,持倉,基金,Screen_Recording_20260911_085721.mp4,069017,PIMCO全球投資級別債券基金-M級類別(月收息股份),,美元,台幣,246.977,246.977,9.32,2026/09/09,9.56,31.5375,74752,72594,,,-1452,-1.94%,-2158,-2.89%,706,影片基金庫存詳情；配息方式：月配
2026-09-11,持倉,基金,Screen_Recording_20260911_085826.mp4,0815,全球平衡基金-美元季配息,,美元,台幣,317.433,317.433,30.57,2026/09/10,,,301639,306038,4399,,,2.06%,,1.46%,1817,影片基金庫存詳情；配息來源警語依原畫面
2026-09-11,持倉,基金,Screen_Recording_20260911_085826.mp4,0376,全球房地產基金-美元季配息,,美元,台幣,273.453,273.453,9.10,2026/09/10,,,86519,78479,-8040,,,-9.29%,,-9.29%,0,影片基金庫存詳情；配息來源警語依原畫面
2026-09-11,持倉,基金,Screen_Recording_20260911_085826.mp4,132,富蘭克林黃金基金,,美元,台幣,34.915,34.915,52.21,2026/09/10,,,61141,57490,-3651,,,-5.97%,,-5.97%,0,影片基金庫存詳情；配息來源警語依原畫面
2026-09-11,持倉,基金,Screen_Recording_20260911_085826.mp4,1641,多空策略基金-美元累積,,美元,台幣,365.711,365.711,14.37,2026/09/10,,,167816,165738,-2078,,,-1.24%,,-1.24%,0,影片基金庫存詳情；配息來源警語依原畫面
